timestamp,limestone_feed_tph,clay_feed_tph,iron_ore_feed_tph,gypsum_feed_tph,laterite_feed_tph,limestone_moisture_pct,clay_moisture_pct,avg_particle_size_mm,CaO_pct,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,crusher_power_kw,conveyor_speed_mps,CO2_emission_kgph,dust_concentration_mgpm3,crusher_status,energy_consumption_kwh,moisture_content_pct
2025-09-18 00:00:00,229.15,48.74,13.39,3.02,2.11,4.6,8.66,46.84,42.45,14.73,4.92,2.15,0.63,431.02,1.52,244.93,35.82,0,105.43,14.33
2025-09-18 01:00:00,220.89,58.08,11.26,5.84,5.34,5.26,8.18,22.5,44.08,13.27,4.61,2.33,1.39,415.79,1.05,218.9,34.89,1,192.11,9.75
2025-09-18 02:00:00,254.35,77.7,7.37,5.68,3.35,4.28,9.03,29.3,44.9,14.23,3.84,2.57,1.64,340.03,2.12,232.39,60.09,0,121.56,6.32
2025-09-18 03:00:00,324.27,70.33,13.77,6.22,4.33,3.38,14.24,35.26,43.5,12.84,4.09,2.75,1.3,429.97,2.4,218.24,32.99,1,145.43,9.89
2025-09-18 04:00:00,288.59,47.56,7.9,7.22,2.38,3.36,10.51,39.87,43.85,13.59,4.1,3.19,0.6,315.49,2.28,191.06,35.52,0,175.68,14.89
2025-09-18 05:00:00,312.89,48.87,11.62,4.24,4.62,4.48,11.67,20.55,42.64,12.68,4.2,3.22,1.11,334.09,1.83,200.56,66.76,1,119.21,6.44
2025-09-18 06:00:00,222.82,78.03,9.05,7.35,2.5,3.48,9.64,46.1,44.1,12.8,4.09,2.91,0.87,380.78,1.08,197.77,74.09,1,192.96,10.57
2025-09-18 07:00:00,225.23,64.92,9.51,6.65,5.44,3.64,12.26,43.94,42.37,12.64,3.83,3.06,1.35,332.54,2.32,245.6,57.99,1,162.34,9.89
2025-09-18 08:00:00,321.8,74.84,9.35,5.17,2.15,3.27,8.47,33.38,42.83,14.15,3.62,2.41,1.67,444.52,2.35,234.12,50.46,0,133.94,13.17
2025-09-18 09:00:00,315.82,71.25,6.59,5.6,3.67,5.67,9.64,48.94,44.3,14.23,2.33,2.43,1.3,425.34,2.08,221.65,66.06,0,120.86,14.13
2025-09-18 10:00:00,316.74,75.73,9.18,5.63,2.72,4.52,10.9,22.1,43.96,12.92,2.12,2.89,1.22,404.09,2.25,243.24,62.7,1,199.17,14.68
2025-09-18 11:00:00,259.04,72.87,6.63,5.58,3.36,5.3,8.67,46.68,42.16,12.97,4.36,2.24,0.64,382.25,1.35,173.44,75.4,1,122.78,12.24
2025-09-18 12:00:00,265.78,67.49,5.35,6.49,3.63,5.52,11.55,34.87,43.03,12.12,2.34,2.79,1.67,394.48,1.5,169.64,34.53,0,166.64,14.96
2025-09-18 13:00:00,337.29,73.92,8.08,5.98,2.16,5.35,9.59,41.51,44.61,14.05,4.43,2.12,1.52,360.75,2.08,172.76,56.53,0,174.55,7.96
2025-09-18 14:00:00,321.55,60.95,8.93,4.9,3.43,3.13,13.33,20.19,42.62,14.24,2.25,2.97,1.4,326.18,2.43,161.4,35.37,1,153.03,6.33
2025-09-18 15:00:00,220.63,70.17,9.29,3.3,5.77,3.54,11.25,25.32,43.6,12.12,4.31,2.76,1.41,330.29,2.32,200.69,63.9,0,118.25,6.64
2025-09-18 16:00:00,292.14,61.69,11.03,6.72,4.84,3.77,13.96,37.94,43.23,13.07,2.98,3.86,1.56,417.31,1.45,168.13,76.4,0,159.77,13.11
2025-09-18 17:00:00,261.88,70.39,14.95,3.02,4.23,5.06,8.93,35.14,44.65,13.3,4.92,2.62,0.63,342.7,1.23,231.18,30.12,0,122.04,7.17
2025-09-18 18:00:00,286.55,54.57,9.11,3.96,3.79,4.46,12.27,22.66,44.47,14.48,4.38,2.02,1.11,403.05,2.27,170.34,48.4,0,162.19,12.57
2025-09-18 19:00:00,331.77,64.57,6.63,5.83,2.37,4.63,10.06,42.09,44.17,14.15,3.58,2.48,2.0,300.94,2.22,233.46,33.49,1,164.58,6.21
2025-09-18 20:00:00,246.37,51.71,14.29,6.67,5.97,4.14,10.28,34.28,43.96,13.73,3.84,2.81,1.31,448.31,2.09,171.24,63.66,0,128.83,12.62
2025-09-18 21:00:00,342.06,55.31,14.03,5.37,3.51,4.13,12.04,47.02,43.17,12.69,2.65,3.98,1.87,444.7,1.79,191.28,47.85,1,128.05,5.52
2025-09-18 22:00:00,349.17,62.8,6.64,4.61,2.84,4.13,8.69,29.58,43.71,14.63,3.72,2.86,0.88,430.42,1.28,172.97,74.03,1,150.47,9.84
2025-09-18 23:00:00,320.44,50.85,9.8,5.83,4.7,4.18,12.47,22.27,42.61,13.7,2.94,2.07,1.9,344.0,1.2,220.44,73.03,0,112.24,10.81
2025-09-19 00:00:00,219.84,59.84,9.43,4.08,3.09,4.98,14.66,48.72,44.87,12.48,3.85,3.66,0.56,401.54,1.55,209.97,31.33,0,106.51,9.56
2025-09-19 01:00:00,305.06,77.34,10.16,4.29,3.12,3.06,8.42,47.96,42.8,13.67,3.12,2.49,1.8,382.4,2.03,158.69,66.75,0,168.15,6.85
2025-09-19 02:00:00,261.8,71.29,11.66,7.47,5.74,5.93,11.98,39.16,42.91,13.94,2.13,3.66,1.03,397.07,1.03,150.67,76.85,1,193.05,6.87
2025-09-19 03:00:00,325.24,55.93,13.47,3.78,2.81,3.77,10.51,45.74,42.13,13.83,2.08,2.76,1.33,362.84,1.25,172.41,71.75,1,114.18,9.65
2025-09-19 04:00:00,321.0,42.93,10.43,5.71,5.52,5.5,12.57,40.58,42.86,13.59,3.84,3.77,1.94,365.67,1.12,219.21,70.69,0,193.7,13.24
2025-09-19 05:00:00,255.4,50.75,9.38,4.93,4.36,4.21,10.91,20.6,44.21,13.89,4.69,3.79,1.23,408.6,1.08,158.57,51.24,1,177.83,14.5
2025-09-19 06:00:00,326.69,67.63,9.65,3.48,3.47,5.89,8.45,44.3,43.61,12.89,4.65,2.02,1.2,374.68,2.34,182.09,65.11,0,122.88,5.56
2025-09-19 07:00:00,223.34,40.85,11.39,6.69,4.71,4.0,12.09,21.28,44.01,13.08,4.08,2.25,1.89,399.42,1.02,246.38,70.22,0,179.53,10.16
2025-09-19 08:00:00,269.93,41.48,11.64,3.37,4.98,3.56,13.17,46.5,43.79,12.98,4.23,3.81,1.04,365.65,1.6,188.31,65.31,1,136.76,14.5
2025-09-19 09:00:00,230.6,58.77,5.48,4.36,2.5,4.41,14.93,41.26,42.65,13.99,3.55,2.36,1.43,374.17,2.15,151.17,62.8,1,104.78,9.46
2025-09-19 10:00:00,275.39,55.37,11.16,4.45,5.58,5.04,12.47,40.14,44.33,12.13,3.72,3.78,0.85,359.27,1.15,224.73,64.46,0,160.54,7.39
2025-09-19 11:00:00,254.62,68.1,13.94,7.88,3.4,5.9,11.67,39.35,42.35,12.06,4.13,2.26,0.88,330.02,1.81,166.76,37.84,1,119.32,8.03
2025-09-19 12:00:00,238.15,74.75,9.09,4.35,2.16,4.69,14.46,26.44,44.67,13.72,2.45,2.42,1.24,433.91,1.21,183.6,48.26,0,116.46,12.9
2025-09-19 13:00:00,270.13,72.91,7.42,7.94,3.53,4.58,13.84,25.3,43.68,12.1,3.99,2.86,1.72,391.12,2.01,155.08,46.3,0,179.96,9.82
2025-09-19 14:00:00,333.05,70.29,10.79,4.61,4.63,3.05,10.75,42.81,44.49,13.58,3.94,3.93,0.91,427.28,2.44,203.32,61.58,1,163.36,5.56
2025-09-19 15:00:00,312.16,79.76,9.1,4.38,3.66,4.05,8.05,38.24,43.34,12.02,4.76,2.63,1.56,327.82,1.89,239.45,75.09,0,140.83,10.08
2025-09-19 16:00:00,241.66,65.34,12.73,7.07,5.36,5.65,14.79,47.31,42.11,14.77,3.67,3.92,0.97,447.81,1.12,158.27,43.26,1,105.53,11.23
2025-09-19 17:00:00,279.14,53.11,6.46,6.31,3.5,4.33,14.12,42.31,44.71,14.27,2.25,2.28,1.15,359.69,1.81,233.44,45.44,1,128.92,6.12
2025-09-19 18:00:00,233.92,77.35,9.19,7.72,5.59,4.39,9.93,49.74,42.11,12.43,3.37,3.24,1.27,395.26,1.34,220.13,79.95,1,149.18,10.34
2025-09-19 19:00:00,224.4,73.38,7.41,3.66,4.36,4.65,14.71,27.08,42.63,13.4,3.48,2.72,1.23,312.36,2.01,230.82,30.75,1,113.42,5.55
2025-09-19 20:00:00,233.25,76.84,7.04,3.13,3.82,5.94,13.17,42.79,43.46,14.48,2.86,3.84,1.54,344.3,1.67,245.57,63.94,0,187.17,11.21
2025-09-19 21:00:00,348.3,71.81,13.94,4.04,4.34,5.89,9.41,39.07,42.07,12.04,2.97,2.6,0.66,344.65,1.92,192.45,64.63,1,135.52,9.03
2025-09-19 22:00:00,252.89,78.36,11.26,4.19,3.69,4.63,9.32,22.67,42.97,13.39,3.31,2.3,1.09,413.34,1.32,226.98,42.6,0,134.8,9.67
2025-09-19 23:00:00,335.3,62.65,7.36,6.87,3.86,5.16,12.28,31.61,42.43,14.73,3.78,3.51,1.07,407.83,1.59,228.71,31.66,1,118.84,5.19
