timestamp,mill_power_kw,mill_motor_load_pct,mill_outlet_temp_c,mill_feed_rate_tph,raw_mill_feed_tph,raw_mill_power_kw,separator_speed_rpm,separator_efficiency_pct,residue_on_90um_pct,residue_on_212um_pct,separator_motor_status,preheater_inlet_temp_c,preheater_outlet_temp_c,cyclone_pressure_drop_mbar,cyclone_pressure_drop_pa,preheater_O2_pct,preheater_CO_pct,gas_flow_rate_nm3h,dust_load_mgNm3,preheater_cyclone_efficiency_pct,gas_flow_nm3_hr,co2_pct,co_ppm,so2_ppm,no_x_ppm,specific_power_consumption_kwh_t,separator_fan_power_kw,preheater_fan_power_kw,high_temp_alarm,high_vibration_alarm,separator_blockage_alarm,fan_failure_alarm
2025-09-18T01:52:09.376118,4459.14,70.63,98.25,195.62,223.65,4353.4,1435.31,76.3,13.38,1.12,0,734.9,910.2,206.12,1716.02,4.1,0.27,122460.45,28.35,93.69,142764.22,18.96,155.65,56.12,364.59,32.63,540.88,951.97,1,1,1,0
2025-09-18T01:53:09.376118,4594.6,83.41,119.19,206.5,205.2,4658.81,1271.11,87.93,14.62,3.82,0,799.19,927.31,248.52,1855.32,4.6,0.25,122670.52,45.02,86.63,130658.12,22.02,225.46,108.86,321.42,31.35,713.66,897.92,1,1,1,0
2025-09-18T01:54:09.376118,4526.92,91.07,113.28,196.03,153.21,3630.91,1060.64,78.16,17.54,4.51,1,731.89,899.92,238.47,1642.85,2.43,0.16,137249.45,36.17,92.47,132853.01,21.5,140.5,149.65,341.5,29.94,802.31,1144.44,0,0,1,0
2025-09-18T01:55:09.376118,4077.15,84.9,104.04,197.6,205.32,4884.86,1308.17,76.72,17.08,4.0,1,716.73,893.48,195.37,1953.82,4.63,0.21,125029.31,25.36,94.13,146115.56,19.79,209.74,99.17,345.85,32.63,715.75,1111.45,0,1,1,0
2025-09-18T01:56:09.376118,3667.8,79.07,119.56,236.47,173.95,3481.74,1240.41,76.18,15.86,4.26,0,719.26,897.53,204.98,1265.06,4.62,0.27,110589.91,36.18,92.3,126034.53,19.87,298.79,104.48,431.43,30.18,548.4,889.88,1,0,0,0
2025-09-18T01:57:09.376118,3510.79,87.7,91.77,184.72,153.14,3660.86,1208.49,79.18,13.88,3.16,1,736.45,897.3,190.71,1094.33,3.98,0.24,120555.11,45.92,85.54,139603.66,21.88,65.15,114.67,540.18,26.09,576.64,1014.51,0,1,0,1
2025-09-18T01:58:09.376118,4193.94,91.86,92.26,236.56,235.6,3195.82,1291.29,83.11,10.12,1.37,0,724.95,898.56,171.37,1401.04,2.18,0.25,149265.44,27.96,92.84,133650.25,20.54,289.33,149.4,466.73,32.18,561.92,918.68,0,0,1,0
2025-09-18T01:59:09.376118,3575.21,81.92,117.58,217.18,155.69,4015.66,1410.81,76.03,10.54,4.45,1,717.98,939.03,174.62,1594.52,3.86,0.27,129183.61,35.68,94.35,126127.78,22.3,109.67,71.45,501.51,28.0,626.47,1100.75,0,0,1,0
2025-09-18T02:00:09.376118,3609.89,75.33,97.96,245.33,238.09,4758.54,1121.72,77.37,16.67,3.81,0,800.18,905.46,243.18,1103.59,4.63,0.21,144485.64,42.27,86.55,128452.69,19.26,135.72,109.37,555.87,30.05,600.45,1163.26,0,0,1,1
2025-09-18T02:01:09.376118,3566.13,78.34,93.92,248.59,166.16,3883.67,1323.4,83.41,10.89,4.78,0,781.84,933.46,208.25,1148.09,2.38,0.22,144949.07,43.88,93.61,146967.74,19.26,112.38,33.36,534.03,33.84,662.55,1048.26,0,0,0,0
2025-09-18T02:02:09.376118,4822.12,70.62,112.1,203.25,243.08,4604.47,1418.44,87.16,12.13,4.15,0,757.38,853.87,197.07,1199.57,4.76,0.24,141026.82,46.14,87.23,139801.0,20.39,119.65,29.02,532.0,28.51,703.76,1071.81,1,0,0,1
2025-09-18T02:03:09.376118,3767.85,94.06,97.96,187.59,193.46,4457.09,1088.21,84.09,14.09,2.54,0,738.21,920.88,150.17,1925.58,3.62,0.39,137097.5,40.12,88.64,122099.21,21.99,132.55,60.81,554.4,32.2,620.13,923.71,1,1,1,1
2025-09-18T02:04:09.376118,4331.62,74.8,109.95,206.54,224.81,3348.05,1241.46,81.09,16.67,2.22,0,764.48,908.0,215.47,1464.99,3.33,0.19,123659.31,47.04,92.96,125090.74,18.51,178.86,102.28,400.56,33.18,800.46,1069.12,0,0,0,0
2025-09-18T02:05:09.376118,3569.32,94.6,108.34,233.79,195.54,4772.27,1245.4,85.78,13.07,2.6,0,798.41,850.55,225.1,1770.05,2.32,0.27,108794.33,48.74,90.18,121506.55,19.5,262.08,79.34,540.42,31.68,895.16,1038.18,1,1,1,0
2025-09-18T02:06:09.376118,4615.48,81.87,97.78,197.31,213.77,4531.63,1212.78,84.4,12.2,1.31,1,735.17,883.58,239.3,1080.58,2.45,0.25,107640.26,26.42,89.15,129926.44,20.8,65.57,128.28,416.84,32.7,878.42,807.81,1,1,0,1
2025-09-18T02:07:09.376118,3947.92,79.75,116.75,238.5,203.82,4469.27,1379.92,88.47,13.91,2.09,1,704.35,883.61,217.91,1404.32,2.5,0.29,106381.39,38.67,85.27,131820.61,21.39,56.78,103.56,340.71,29.62,520.11,951.64,0,1,1,1
2025-09-18T02:08:09.376118,4641.84,79.48,112.56,238.23,175.23,3163.81,911.63,83.09,18.0,2.4,0,817.18,915.18,225.42,1949.61,2.6,0.11,107619.12,23.79,91.69,136919.09,19.31,224.87,119.7,350.34,31.07,799.17,845.81,0,1,0,0
2025-09-18T02:09:09.376118,4893.33,84.39,117.24,206.27,244.15,3396.66,1255.26,87.46,11.94,3.79,1,827.54,910.04,162.11,1983.84,4.35,0.24,121418.9,31.12,90.06,130236.94,23.1,255.58,33.72,588.24,31.36,831.48,1082.92,1,0,1,1
2025-09-18T02:10:09.376118,4197.31,90.64,107.77,202.56,174.55,4869.24,1067.36,81.76,16.0,3.28,1,750.46,899.43,182.5,1487.55,3.06,0.2,113982.92,37.88,93.8,136673.73,21.1,97.76,51.38,421.93,30.55,596.13,990.44,1,1,0,0
2025-09-18T02:11:09.376118,3941.35,80.11,97.3,226.48,186.9,4106.95,1106.25,89.95,14.4,2.41,1,740.64,875.14,162.07,1192.58,2.36,0.31,138109.48,25.55,87.16,134525.96,22.35,294.15,88.2,384.9,26.01,577.65,890.99,0,1,0,0
2025-09-18T02:12:09.376118,3911.47,94.36,106.6,228.82,162.63,4736.92,1194.53,88.09,14.59,2.88,1,751.11,946.55,175.25,1861.72,2.34,0.13,124587.33,37.31,91.86,124551.81,22.87,287.28,31.07,374.46,30.58,666.47,1038.45,0,1,1,1
2025-09-18T02:13:09.376118,3946.03,84.71,102.86,219.8,156.02,4920.22,959.54,86.44,15.0,2.06,0,723.56,867.38,157.51,1002.68,3.35,0.34,114562.96,26.94,92.07,141089.63,20.72,221.85,140.11,536.35,31.25,764.47,1173.47,1,0,0,0
2025-09-18T02:14:09.376118,4862.62,90.67,92.14,191.61,180.76,4497.92,1241.52,79.33,10.99,3.75,1,841.4,900.05,199.38,1080.44,2.12,0.27,116116.08,27.51,85.91,148857.33,23.02,193.8,143.6,599.87,31.72,607.8,816.09,0,1,1,1
2025-09-18T02:15:09.376118,3772.23,84.63,109.04,214.42,159.12,3695.92,1099.99,85.05,16.86,2.32,1,743.23,944.52,231.36,1550.1,3.36,0.23,116163.69,49.11,89.04,135437.89,23.93,214.42,90.54,423.97,26.88,644.71,1102.58,1,0,0,1
2025-09-18T02:16:09.376118,4323.83,93.19,103.14,228.88,162.14,4946.29,1265.32,78.59,11.27,3.2,1,713.98,949.23,241.29,1461.45,2.35,0.43,124918.78,41.5,90.09,128202.75,23.01,295.06,51.69,465.38,28.84,868.75,1003.3,0,0,1,1
2025-09-18T02:17:09.376118,4009.81,89.69,98.02,180.18,222.61,4674.95,1247.95,84.9,16.92,2.79,1,751.77,905.19,204.34,1455.34,2.97,0.18,134874.92,37.15,87.34,143266.33,18.26,236.18,111.68,543.42,28.86,765.48,1128.3,0,1,0,0
2025-09-18T02:18:09.376118,4253.44,84.75,116.09,241.19,194.03,4051.9,1174.16,85.84,13.28,3.62,0,711.22,928.15,176.5,1623.26,3.19,0.13,116428.28,40.23,90.34,148624.19,21.76,271.86,83.43,462.3,31.17,593.91,1073.76,1,0,0,1
